name,centroid
Fukushima,"[140.223295254926,37.3788674472289]"
Miyagi,"[140.927085641595,38.4468593884175]"
Ibaraki,"[140.319590711457,36.3035881786206]"
Yamagata,"[140.102153853472,38.4483961870146]"
Gunma,"[138.985604945835,36.5044785592169]"
Tochigi,"[139.819213224924,36.689912001977]"
Iwate,"[141.361776855068,39.5932873067692]"
Nagano,"[138.045527669819,36.1321337201848]"
Tottori,"[133.863619756865,35.359068882084]"
Saitama,"[139.347635432826,35.9971006596114]"
Chiba,"[140.198916636531,35.510141265154]"
Shimane,"[132.554063962781,35.0707603165391]"
Niigata,"[138.918647357977,37.5218191125762]"
Hokkaido,"[142.552317890815,43.3857105163869]"
Akita,"[140.408228235167,39.7486787498803]"
Shiga,"[136.138063742481,35.2158272881713]"
Shizuoka,"[138.4077837297,34.9169749560925]"
Aomori,"[140.82889600665,40.7815414216618]"
Kagoshima,"[130.430665112758,31.0094843941696]"
Kyoto,"[135.443341340354,35.2538149464828]"
Kanagawa,"[139.338983088237,35.4153119719454]"
Tokyo,"[139.446921214775,35.7113434885291]"
Hyogo,"[134.828056459809,35.0399128991266]"
Yamanashi,"[138.611488813559,35.6123643259462]"
Gifu,"[137.05592479079,35.7786711525859]"
Kagawa,"[133.969046793262,34.217291950069]"
Fukui,"[136.224654232789,35.8466142567426]"
Aichi,"[137.211621037571,35.035551234307]"
Toyama,"[137.26934607423,36.6374636348465]"
Miyazaki,"[131.299373867568,32.1932036121469]"
Mie,"[136.376012761024,34.5080177385115]"
Saga,"[130.115738361876,33.2869769619633]"
Okayama,"[133.826251409668,34.8924600053399]"
Ishikawa,"[136.771027184989,36.7694639841874]"
Ehime,"[132.856842380764,33.6248352756417]"
Tokushima,"[134.242091262108,33.9191785206417]"
Kumamoto,"[130.745231242784,32.6081536891105]"
Wakayama,"[135.505445997241,33.9118794092778]"
Kochi,"[133.367306578336,33.4225194168946]"
Osaka,"[135.507480954791,34.6209646925905]"
Hiroshima,"[132.788719086746,34.6053090955339]"
Nara,"[135.871644414704,34.3174505330223]"
Fukuoka,"[130.666949128689,33.5260322156028]"
Oita,"[131.433240113679,33.2006971048245]"
Okinawa,"[126.668015756051,25.7689233031145]"
Yamaguchi,"[131.573293125808,34.2011900610473]"
